Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
86,Serge Ibaka,OKC,23,80,58,22,31.1,13.2,5.6,9.7,57.3,0.3,0.7,35.1,1.8,2.4,74.9,2.8,4.9,7.7,0.5,1.6,0.4,3,2.7,31.8,15,0,6.1,12350000,0.005310457516
87,Ersan Ilyasova,MIL,26,73,34,39,27.6,13.2,5.1,11,46.2,1.3,2.9,44.4,1.7,2.2,79.6,2.1,5,7.1,1.6,1,0.9,0.5,2.5,27.4,18,0,0.2,7900000,0.003396972824
88,Nate Robinson,CHI,29,82,45,37,25.4,13.1,4.9,11.2,43.3,1.7,4.2,40.5,1.6,2.1,79.9,0.4,1.9,2.2,4.4,1.8,1,0.1,2.5,24.1,3,0,0.4,854389,0.0003673843309
89,Nikola Vučević,ORL,22,77,19,58,33.2,13.1,6,11.5,51.9,0,0,0,1.1,1.6,68.3,3.5,8.4,11.9,1.9,1.8,0.8,1,2.8,33.8,46,0,-5,,
90,Wilson Chandler,DEN,26,43,33,10,25.1,13,4.9,10.6,46.2,1.2,2.9,41.3,2,2.6,79.3,1,4,5.1,1.3,1.4,1,0.3,2.8,23.7,0,0,4.1,5930414,0.00255005762
91,Andre Iguodala,DEN,29,80,57,23,34.7,13,5,11,45.1,1.1,3.6,31.7,1.9,3.4,57.4,1,4.3,5.3,5.4,2.6,1.7,0.7,1.6,32,10,1,4.8,14968250,0.00643629601
92,Jarrett Jack,GSW,29,79,47,32,29.7,12.9,4.9,10.8,45.2,1,2.6,40.4,2.1,2.5,84.3,0.3,2.8,3.1,5.6,2,0.8,0.1,1.7,25.7,8,0,1.1,5400000,0.002321981424
93,Mo Williams,UTA,30,46,22,24,30.8,12.9,5,11.6,43,1.3,3.3,38.3,1.6,1.8,88.2,0.5,1.9,2.4,6.2,2.7,1,0.2,2.3,25.9,3,0,-1.4,8500000,0.00365497076
94,Jeff Green,BOS,26,81,41,40,27.8,12.8,4.6,10,46.7,0.9,2.2,38.5,2.6,3.3,80.8,0.7,3.2,3.9,1.6,1.6,0.7,0.8,2.2,22.8,1,0,0.1,8385000,0.003605521156
95,Luis Scola,PHX,33,82,25,57,26.6,12.8,5.3,11.2,47.2,0,0.2,18.8,2.2,2.8,78.7,1.9,4.7,6.6,2.2,1.5,0.8,0.4,3.1,26.2,15,0,-2.6,4508504,0.001938641211
