,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
190,Chris Mills,GSW,32,66,18,48,18.7,7.4,2.7,6.5,41.7,0.7,1.9,37.8,1.3,1.6,79.4,0.8,2.1,2.9,1.1,0.8,0.5,0.2,1.8,13.7,0,0,-1.8,5400000,0.003691045796
191,Charles Smith,SAS,26,60,45,15,19.1,7.4,3,7.1,42.5,0.6,2.2,26.7,0.7,1.1,64.6,0.6,1.7,2.2,1.3,1,0.9,0.7,1.9,15.8,0,0,-0.4,541000,0.0003697881066
192,Jake Tsakalidis,PHX,23,67,29,38,23.6,7.3,2.8,6,47.5,0,0,0,1.7,2.4,69.8,1.9,3.6,5.6,0.3,1.2,0.3,1,2.9,17.5,6,0,0.4,820000,0.0005604921394
193,Calbert Cheaney,DEN,30,68,20,48,24.1,7.3,3.3,6.9,48.1,0,0.1,0,0.7,1,68.7,0.8,2.7,3.5,1.6,1,0.5,0.3,2.3,15.3,1,0,-4.8,2400000,0.001640464798
194,Aaron Williams,NJN,30,82,52,30,18.9,7.2,2.8,5.4,52.6,0,0,0,1.6,2.3,69.9,1.4,2.7,4.1,0.9,1,0.4,0.9,2.6,16.5,0,0,1.5,2475000,0.001691729323
195,Speedy Claxton,PHI,24,67,36,31,22.8,7.2,2.7,6.7,40,0.1,0.5,12.1,1.7,2,83.8,0.7,1.7,2.4,3,1.4,1.4,0.1,2.2,17.6,0,0,-0.4,1006000,0.0006876281613
196,Hubert Davis,WAS,32,51,23,28,24.2,7.2,2.9,6.4,44.8,1.1,2.5,45.2,0.3,0.4,76.2,0.1,1.4,1.5,2.1,0.9,0.5,0.1,1.1,13.1,0,0,-0.7,2368000,0.001618591934
197,Adrian Griffin,DAL,27,58,40,18,23.9,7.2,3.1,6.2,49.9,0.3,0.9,29.6,0.7,0.8,83.7,1.2,2.8,3.9,1.8,0.7,1.3,0.2,2.4,18.4,0,0,2.6,648000,0.0004429254956
198,Hakeem Olajuwon,TOR,39,61,33,28,22.5,7.1,3.2,6.9,46.4,0,0,0,0.8,1.4,56,1.6,4.4,6,1.1,1.6,1.2,1.5,2.4,22.5,4,0,0.4,5061000,0.003459330144
199,Monty Williams,ORL,30,68,36,32,18.9,7.1,2.9,5.3,54.7,0,0.1,0,1.3,2,65.7,1.2,2.3,3.5,1.4,1.3,0.7,0.3,2,15,3,0,-1.8,591000,0.0004039644566
200,LaPhonso Ellis,MIA,32,66,26,40,25.5,7.1,2.9,6.8,41.8,0.6,1.9,30.6,0.8,1.3,63.1,1.6,2.7,4.3,0.8,1.1,0.5,0.6,3,15.5,0,0,-2.8,3000000,0.002050580998
